dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative,pareto
Letter,KNN,,0.91985,0.0221504796787789,0.9201462265278506,0.0218025003139093,2106306.4,815340.0381186368,0.91985,0.0221504796787789,accuracy,0.95907621728704,0.9593268765601662,0.0041999722588517,0.95907621728704,False
Letter,MLP,,0.8717750000000001,0.0062239456938504,0.8718323387332877,0.0062563216943919,51296.9,24438.784714056463,0.8717750000000001,0.0062239456938504,accuracy,0.9089510999895736,0.908955740173146,0.0001022859527773,0.9089510999895736,True
Letter,RF,,0.9591,0.0039345337151377,0.9591581858179512,0.0039168694053445,501504836.2666666,223735454.81871143,0.9591,0.0039345337151377,accuracy,1.0,1.0,1.0,1.0,True
Letter,SVM,,0.9575,0.014156491443857,0.9575182164227124,0.014138070785487,1691617.8,510011.5170775068,0.9575,0.014156491443857,accuracy,0.998331769367115,0.998290199239826,0.0033730837225675,0.998331769367115,True
Letter,Wisard,CB,0.879975,0.0215530595275937,0.8809872631177667,0.0213950475438606,2425446.4,1789881.1185050253,0.879975,0.0215530595275937,accuracy,0.9175007819831092,0.9185004894333234,0.004836337009341,0.9175007819831092,False
Motion Sense,KNN,,0.7111271157756509,0.1612233571590444,0.7094686873585486,0.1606333210276204,11620003.8,4689983.361101903,0.7111271157756509,0.1612233571590444,accuracy,0.7797080744128424,0.7780698734695812,0.2784517014994135,0.7797080744128424,False
Motion Sense,MLP,,0.8362660043110799,0.0268322241885357,0.8351698232202986,0.0280862478001863,927313.8,851703.9192164728,0.8362660043110799,0.0268322241885357,accuracy,0.9169153326506296,0.9159255232221776,0.0222213443195162,0.9169153326506296,True
Motion Sense,RF,,0.9120427748695096,0.0054759321803379,0.9118315867890822,0.0056027789495951,41730769.6,5870390.503000529,0.9120427748695096,0.0054759321803379,accuracy,1.0,1.0,1.0,1.0,True
Motion Sense,SVM,,0.8333335029940881,0.0147270481506431,0.8292844779010837,0.0156196848809245,6556588.0,95867.6810296358,0.8333335029940881,0.0147270481506431,accuracy,0.913700021485634,0.909471101808746,0.1571163930798918,0.913700021485634,False
Motion Sense,Wisard,Dict,0.698318916410691,0.0276421610846658,0.6856930069458967,0.0269496023747219,25108048.6,8516280.863700563,0.698318916410691,0.0276421610846658,accuracy,0.7656646548300355,0.7519952334185873,0.6016675187317897,0.7656646548300355,False
Optical Handwritten,KNN,,0.9859430604982208,0.0050875368169024,0.985960465905746,0.0050227228416334,1870657.8,2.949576240727831,0.985960465905746,0.0050227228416334,f1,1.0,1.0,1.0,1.0,True
Optical Handwritten,MLP,,0.9856761565836296,0.0039837389995085,0.985678086992806,0.0039648851230541,296641.0,133964.42965018738,0.985678086992806,0.0039648851230541,f1,0.9997292907417432,0.999713600166838,0.1585757694432407,0.999713600166838,True
Optical Handwritten,RF,,0.9823250296559906,0.0038700783553403,0.9823226670204288,0.0038460055085247,54297727.06666666,16827301.73591581,0.9823226670204288,0.0038460055085247,f1,0.996330385610299,0.9963104008617876,29.0260073577683,0.9963104008617876,False
Optical Handwritten,SVM,,0.98576512455516,0.0043128824354237,0.9857761439402122,0.0043026294541513,385493.8,25474.745203828832,0.9857761439402122,0.0043026294541513,f1,0.9998195271611622,0.9998130533911778,0.206073927577775,0.9998130533911778,True
Optical Handwritten,Wisard,CB,0.9720640569395018,0.0068990823362255,0.9720889553561104,0.0068722418409936,9454592.0,7781035.122419124,0.9720889553561104,0.0068722418409936,f1,0.9859231185706552,0.985930966778782,5.054153677920141,0.985930966778782,False
