dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Optical Handwritten,Wisard,Dict,0.96429418742586,0.006014392804681698,0.9644034832119827,0.005940209813627172,6279900.6,8263957.026618455,0.9644034832119827,0.005940209813627172,f1,1.0,1.0,1.0,1.0
Optical Handwritten,Wisard,HH,0.9642348754448399,0.014913159935780096,0.9644348197038566,0.014786307058724163,1467904.0,1022526.2995541972,0.9644348197038566,0.014786307058724163,f1,0.999938491819412,1.0000324931342737,0.23374637490281297,1.0000324931342737
Optical Handwritten,Wisard,ST,0.9612692763938316,0.010437897610910766,0.9614467906579115,0.010271732263487912,2614784.0,1582448.2160500544,0.9614467906579115,0.010271732263487912,f1,0.9968630827900111,0.9969341747457985,0.41637346935077285,0.9969341747457985
Rice,Wisard,CB,0.9079615048118985,0.014404510444742039,0.9075471990476032,0.014884298626576078,51508.8,32389.777449065627,0.9075471990476032,0.014884298626576078,f1,1.0030929827952833,1.0027086419563438,2.1002625899085015,1.0027086419563438
Rice,Wisard,CC,0.9139107611548557,0.0037554113790611303,0.913932624896956,0.003866207242678736,64624.0,64112.54105087397,0.913932624896956,0.003866207242678736,f1,1.0096655712352602,1.0097636157234786,2.6350326470476304,1.0097636157234786
Rice,Wisard,CMS,0.8986220472440944,0.021785699207831737,0.8983954749469918,0.022074334521980862,9422.0,9268.789493060389,0.8983954749469918,0.022074334521980862,f1,0.9927749855016432,0.9925973079627916,0.38418045308991666,0.9925973079627916
Rice,Wisard,Dict,0.9051618547681539,0.011488250240546524,0.9050956190792621,0.011613716863363236,24524.933333333334,25997.34750294516,0.9050956190792621,0.011613716863363236,f1,1.0,1.0,1.0,1.0
Rice,Wisard,HH,0.9013998250218721,0.019493576517179954,0.9015907331317846,0.01947944938964295,42817.6,40505.106206501914,0.9015907331317846,0.01947944938964295,f1,0.9958438043688381,0.9961276069913554,1.745880382957208,0.9961276069913554
Rice,Wisard,ST,0.9128608923884514,0.012501296385985544,0.9126842300512766,0.012416878830616715,11356.8,16211.511564317498,0.9126842300512766,0.012416878830616715,f1,1.0085057026870288,1.0083843196365643,0.46307159516573604,1.0083843196365643
Satimage,Wisard,CB,0.8743390357698289,0.005891922252996111,0.8690400587672901,0.00516459385751696,745027.2,483036.04349489283,0.8690400587672901,0.00516459385751696,f1,0.9896725736415913,0.9884439175033137,0.3271380479186612,0.9884439175033137
Satimage,Wisard,CC,0.8818040435458787,0.006084341417473068,0.8764553503330965,0.006154177218993701,3143387.7333333334,2045284.3643973703,0.8764553503330965,0.006154177218993701,f1,0.9981222861166531,0.9968780509713748,1.3802472271269182,0.9968780509713748
Satimage,Wisard,CMS,0.8775790565059616,0.009345468992412485,0.8732182888362763,0.00888120937812974,505958.4,276605.9263226296,0.8732182888362763,0.00888120937812974,f1,0.9933399835700035,0.9931962255884865,0.2221640274396011,0.9931962255884865
Satimage,Wisard,Dict,0.8834629341627785,0.006740738359469655,0.8792001684449403,0.006680500938251005,2277409.2,752261.3098117199,0.8792001684449403,0.006680500938251005,f1,1.0,1.0,1.0,1.0
