dataset,model,ram,accuracy,accuracy_std,f1,f1_std,model_size,model_size_std,metric,metric_std,performance_metric,accuracy_relative,f1_relative,model_size_relative,metric_relative
Iris,RF,,0.9533333333333334,0.04186987484759281,0.9532160367248087,0.041908134212060834,116380.93333333332,108766.95711560975,0.9533333333333334,0.04186987484759281,accuracy,0.9907621247113164,0.9909115312075093,6.594542933881333,0.9907621247113164
Iris,SVM,,0.9400000000000001,0.043461349368017654,0.9398830409356724,0.04356393127437667,1855.6,277.858417184004,0.9400000000000001,0.043461349368017654,accuracy,0.9769053117782911,0.9770512741786921,0.10514466173820741,0.9769053117782911
Iris,Wisard,ST,0.9555555555555555,0.04230985058813286,0.9553989350480577,0.04239450947071611,18103.2,16720.904377455186,0.9555555555555555,0.04230985058813286,accuracy,0.9930715935334873,0.993180753541822,1.025789416026685,0.9930715935334873
Letter,KNN,,0.91985,0.022150479678778902,0.9201462265278506,0.02180250031390933,2106306.4,815340.0381186368,0.91985,0.022150479678778902,accuracy,0.95907621728704,0.9593268765601662,0.004199972258851772,0.95907621728704
Letter,MLP,,0.8717750000000001,0.006223945693850492,0.8718323387332877,0.006256321694391919,51296.9,24438.784714056466,0.8717750000000001,0.006223945693850492,accuracy,0.9089510999895737,0.9089557401731461,0.0001022859527773801,0.9089510999895737
Letter,RF,,0.9591,0.00393453371513773,0.9591581858179511,0.003916869405344529,501504836.2666666,223735454.81871146,0.9591,0.00393453371513773,accuracy,1.0,1.0,1.0,1.0
Letter,SVM,,0.9574999999999999,0.014156491443857087,0.9575182164227124,0.014138070785487079,1691617.8,510011.51707750675,0.9574999999999999,0.014156491443857087,accuracy,0.998331769367115,0.998290199239826,0.003373083722567555,0.998331769367115
Letter,Wisard,CB,0.879975,0.02155305952759374,0.8809872631177667,0.021395047543860693,2425446.4,1789881.1185050253,0.879975,0.02155305952759374,accuracy,0.9175007819831091,0.9185004894333234,0.004836337009341043,0.9175007819831091
Motion Sense,KNN,,0.7111271157756509,0.1612233571590444,0.7094686873585486,0.16063332102762048,11620003.8,4689983.361101903,0.7111271157756509,0.1612233571590444,accuracy,0.7797080744128424,0.7780698734695812,0.2784517014994135,0.7797080744128424
Motion Sense,MLP,,0.8362660043110799,0.026832224188535737,0.8351698232202986,0.028086247800186377,927313.8,851703.9192164728,0.8362660043110799,0.026832224188535737,accuracy,0.9169153326506297,0.9159255232221777,0.022221344319516216,0.9169153326506297
